time	V(clk)	V(d)	V(n2)	V(n4)
5.011000000000000e-009	9.900000e-001	1.100000e+000	-9.973972e-003	-3.251386e-003
5.013000000000000e-009	7.700000e-001	1.100000e+000	-2.936759e-002	-7.936250e-003
5.016000000000000e-009	4.400000e-001	1.100000e+000	-5.242116e-002	-1.084403e-002
5.020000000000000e-009	0.000000e+000	1.100000e+000	-7.226791e-002	-1.057681e-002
5.020400000000001e-009	0.000000e+000	1.100000e+000	-6.827848e-002	-8.086528e-003
5.021200000000001e-009	0.000000e+000	1.100000e+000	-5.987648e-002	-3.935370e-003
5.022800000000001e-009	0.000000e+000	1.100000e+000	-4.243678e-002	1.430049e-003
5.026000000000000e-009	0.000000e+000	1.100000e+000	-8.176208e-003	5.818072e-003
5.032399999999999e-009	0.000000e+000	1.100000e+000	5.653089e-002	6.409033e-003
5.045199999999998e-009	0.000000e+000	1.100000e+000	1.784523e-001	3.816079e-003
5.070799999999995e-009	0.000000e+000	1.100000e+000	4.091971e-001	-2.038170e-004
5.121999999999990e-009	0.000000e+000	1.100000e+000	7.730536e-001	-3.475223e-003
5.194585367532434e-009	0.000000e+000	1.100000e+000	1.035759e+000	-3.492140e-004
5.260592590213895e-009	0.000000e+000	1.100000e+000	1.096078e+000	-8.322514e-005
5.311944231830640e-009	0.000000e+000	1.100000e+000	1.098446e+000	-2.352688e-004
5.367589806518491e-009	0.000000e+000	1.100000e+000	1.099582e+000	1.005209e-004
5.421697155154548e-009	0.000000e+000	1.100000e+000	1.099925e+000	-1.218194e-004
5.485584279470210e-009	0.000000e+000	1.100000e+000	1.100036e+000	1.246764e-004
5.613358528101532e-009	0.000000e+000	1.100000e+000	1.099994e+000	-1.861534e-005
5.764955459480320e-009	0.000000e+000	1.100000e+000	1.100000e+000	1.600595e-005
5.960267959480320e-009	0.000000e+000	1.100000e+000	1.099997e+000	-2.354296e-006
6.155580459480320e-009	0.000000e+000	1.100000e+000	1.099999e+000	2.917790e-006
6.350892959480319e-009	0.000000e+000	1.100000e+000	1.099998e+000	-1.720473e-006
6.546205459480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	2.489251e-006
6.741517959480319e-009	0.000000e+000	1.100000e+000	1.099998e+000	-1.208857e-006
6.936830459480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	2.133544e-006
7.132142959480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	-8.022471e-007
7.327455459480318e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.834938e-006
7.522767959480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	-4.823669e-007
7.718080459480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.582463e-006
7.913392959480319e-009	0.000000e+000	1.100000e+000	1.099999e+000	-2.336747e-007
8.108705459480318e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.367822e-006
8.304017959480318e-009	0.000000e+000	1.100000e+000	1.099999e+000	-4.263711e-008
8.499330459480318e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.184701e-006
8.694642959480318e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.020380e-007
8.889955459480317e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.027947e-006
9.085267959480317e-009	0.000000e+000	1.100000e+000	1.100000e+000	2.095476e-007
9.280580459480317e-009	0.000000e+000	1.100000e+000	1.099999e+000	8.933421e-007
9.475892959480317e-009	0.000000e+000	1.100000e+000	1.100000e+000	2.876332e-007
9.671205459480317e-009	0.000000e+000	1.100000e+000	1.100003e+000	4.745734e-006
9.804687500000000e-009	0.000000e+000	1.100000e+000	1.099931e+000	-1.646094e-004
9.814687500000000e-009	0.000000e+000	1.100000e+000	1.099958e+000	-9.002417e-005
9.834687500000000e-009	0.000000e+000	1.100000e+000	1.100013e+000	4.573101e-005
9.874687499999999e-009	0.000000e+000	1.100000e+000	1.099996e+000	-1.064328e-005
9.930784515351849e-009	0.000000e+000	1.100000e+000	1.100000e+000	-7.521662e-005
9.940784515351849e-009	0.000000e+000	1.100000e+000	1.100000e+000	-5.108273e-005
9.960784515351848e-009	0.000000e+000	1.100000e+000	1.100005e+000	-1.751792e-005
9.970784515351848e-009	0.000000e+000	1.100000e+000	1.100001e+000	-5.832117e-006
9.980000000000001e-009	0.000000e+000	1.100000e+000	1.100052e+000	-2.794125e-005
9.981569030703695e-009	0.000000e+000	1.100000e+000	1.100046e+000	-2.768315e-005
9.984707092111083e-009	0.000000e+000	1.100000e+000	1.100010e+000	-5.361790e-006
9.990983214925860e-009	0.000000e+000	1.100000e+000	1.099999e+000	1.421321e-007
1.000000000000000e-008	0.000000e+000	1.100000e+000	1.100013e+000	2.916539e-006
1.000090167850741e-008	9.918463e-002	1.100000e+000	1.105510e+000	4.307499e-003
1.000270503552224e-008	2.975539e-001	1.100000e+000	1.114728e+000	9.487780e-003
1.000631174955190e-008	6.942924e-001	1.100000e+000	1.127275e+000	8.024910e-003
1.001000000000000e-008	1.100000e+000	1.100000e+000	1.135203e+000	-5.783501e-003
1.001036882504481e-008	1.100000e+000	1.100000e+000	1.133834e+000	-1.102501e-002
1.001110647513443e-008	1.100000e+000	1.100000e+000	1.131169e+000	-2.031376e-002
1.001258177531367e-008	1.100000e+000	1.100000e+000	1.126657e+000	-3.470750e-002
1.001553237567215e-008	1.100000e+000	1.100000e+000	1.120166e+000	-5.447346e-002
1.002143357638912e-008	1.100000e+000	1.100000e+000	1.112065e+000	-8.344945e-002
1.003127294776738e-008	1.100000e+000	1.100000e+000	1.104944e+000	-7.691192e-002
1.005095169052391e-008	1.100000e+000	1.100000e+000	1.099578e+000	1.708592e-001
1.008332853454251e-008	1.100000e+000	1.100000e+000	1.097850e+000	7.381982e-001
1.011683341347434e-008	1.100000e+000	1.100000e+000	1.098384e+000	1.057017e+000
1.014814909004658e-008	1.100000e+000	1.100000e+000	1.099308e+000	1.103806e+000
1.018843653279864e-008	1.100000e+000	1.100000e+000	1.099953e+000	1.099206e+000
1.023330151577767e-008	1.100000e+000	1.100000e+000	1.100010e+000	1.100554e+000
