time	V(clk)
0.000000000000000e+000	0.000000e+000
9.999999824516700e-014	1.100000e-002
1.999999964903340e-013	2.200000e-002
3.999999929806680e-013	4.400000e-002
7.999999859613360e-013	8.800000e-002
1.599999971922672e-012	1.760000e-001
3.199999943845344e-012	3.520000e-001
6.399999887690688e-012	7.040000e-001
9.999999999999999e-012	1.100000e+000
1.036000001123093e-011	1.100000e+000
1.108000003369279e-011	1.100000e+000
1.252000007861652e-011	1.100000e+000
1.540000016846397e-011	1.100000e+000
2.116000034815886e-011	1.100000e+000
3.268000070754866e-011	1.100000e+000
5.572000142632825e-011	1.100000e+000
8.772103292674077e-011	1.100000e+000
1.222893909204746e-010	1.100000e+000
1.309314804189081e-010	1.100000e+000
1.482156594157750e-010	1.100000e+000
1.827840174095088e-010	1.100000e+000
2.439562065740416e-010	1.100000e+000
3.066058672876251e-010	1.100000e+000
3.863308749212623e-010	1.100000e+000
5.041252205374589e-010	1.100000e+000
7.156397654417601e-010	1.100000e+000
1.043969561285838e-009	1.100000e+000
1.638817977100790e-009	1.100000e+000
2.658431629806892e-009	1.100000e+000
4.432603021385742e-009	1.100000e+000
7.597197976451962e-009	1.100000e+000
1.309481789797353e-008	1.100000e+000
2.409005774101666e-008	1.100000e+000
4.608053742710293e-008	1.100000e+000
9.006149679927548e-008	1.100000e+000
1.486552467992755e-007	1.100000e+000
2.072489967992755e-007	1.100000e+000
3.244364967992755e-007	1.100000e+000
5.002177467992755e-007	1.100000e+000
5.588114967992756e-007	1.100000e+000
6.174052467992756e-007	1.100000e+000
6.759989967992757e-007	1.100000e+000
7.345927467992758e-007	1.100000e+000
7.931864967992759e-007	1.100000e+000
8.517802467992759e-007	1.100000e+000
9.103739967992759e-007	1.100000e+000
9.414162500000001e-007	1.100000e+000
9.414262500000001e-007	1.100000e+000
9.414462500000003e-007	1.100000e+000
9.414862500000005e-007	1.100000e+000
9.415662500000010e-007	1.100000e+000
9.417262500000021e-007	1.100000e+000
9.420462500000041e-007	1.100000e+000
9.426862500000082e-007	1.100000e+000
9.439662500000165e-007	1.100000e+000
9.618862500001317e-007	1.100000e+000
9.795299999998684e-007	1.100000e+000
9.795399999998684e-007	1.100000e+000
9.795599999998686e-007	1.100000e+000
9.795999999998688e-007	1.100000e+000
9.796799999998693e-007	1.100000e+000
9.798399999998704e-007	1.100000e+000
9.801599999998724e-007	1.100000e+000
9.846399999999012e-007	1.100000e+000
9.897599999999341e-007	1.100000e+000
9.897699999999342e-007	1.100000e+000
9.897899999999343e-007	1.100000e+000
9.898299999999346e-007	1.100000e+000
9.899099999999351e-007	1.100000e+000
9.910299999999423e-007	1.100000e+000
9.923099999999505e-007	1.100000e+000
9.948699999999670e-007	1.100000e+000
9.949299999999674e-007	1.100000e+000
9.950099999999679e-007	1.100000e+000
9.974499999999836e-007	1.100000e+000
9.993699999999959e-007	1.100000e+000
9.996899999999980e-007	1.100000e+000
9.997199999999982e-007	1.100000e+000
9.998499999999990e-007	1.100000e+000
1.000000000000000e-006	1.100000e+000
1.000010000000000e-006	1.100000e+000
1.000011000000000e-006	9.900000e-001
1.000013000000000e-006	7.700000e-001
1.000016000000000e-006	4.400000e-001
1.000020000000000e-006	0.000000e+000
1.000020400000000e-006	0.000000e+000
1.000021200000000e-006	0.000000e+000
1.000022800000000e-006	0.000000e+000
1.000026000000000e-006	0.000000e+000
1.000032400000000e-006	0.000000e+000
1.000045199999999e-006	0.000000e+000
1.000070799999998e-006	0.000000e+000
1.000099275539421e-006	0.000000e+000
1.000156226618267e-006	0.000000e+000
1.000233842209562e-006	0.000000e+000
1.000317745826617e-006	0.000000e+000
1.000456872570041e-006	0.000000e+000
1.000601327021131e-006	0.000000e+000
1.000890235923312e-006	0.000000e+000
1.001408236544626e-006	0.000000e+000
1.002245196588187e-006	0.000000e+000
1.003919116675309e-006	0.000000e+000
1.006781703135279e-006	0.000000e+000
1.012089411198977e-006	0.000000e+000
1.021952363755452e-006	0.000000e+000
1.039625350966675e-006	0.000000e+000
1.133565075389119e-006	0.000000e+000
1.234011503960547e-006	0.000000e+000
1.334457932531976e-006	0.000000e+000
1.434904361103404e-006	0.000000e+000
1.535350789674833e-006	0.000000e+000
1.635797218246261e-006	0.000000e+000
1.736243646817690e-006	0.000000e+000
1.836690075389118e-006	0.000000e+000
1.895283825389118e-006	0.000000e+000
1.941406250000000e-006	0.000000e+000
